"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.106249983E-3,-2.092751226E0,1.089027543E0,1.859671855E-1,2.366468356E0
1.111020835E-2,-1.916091054E0,1.597013758E0,1.413647414E0,2.867099036E0
2.111520839E-2,-1.474823762E0,1.592557595E0,1.618633254E0,2.707640750E0
3.112020832E-2,-1.077119396E0,1.032197285E0,8.443543124E-1,1.714220415E0
4.112420836E-2,-6.569102664E-1,4.828309089E-1,-7.541618150E-2,8.187456169E-1
5.112920841E-2,-2.932562837E-1,2.491323173E-1,-6.904298687E-1,7.904173347E-1
6.113320834E-2,-1.326236218E-2,1.651277089E-1,-1.058077061E0,1.070966908E0
7.113820838E-2,8.583127856E-2,1.049399793E-1,-1.167494911E0,1.175339855E0
8.114320843E-2,1.388123149E-1,8.704749942E-2,-1.183581698E0,1.194868931E0
9.114720835E-2,5.986876398E-2,5.564210415E-2,-1.192182952E0,1.194981382E0
1.011522084E-1,1.568653008E-1,1.137470555E-1,-1.064445848E0,1.081938113E0
1.111562083E-1,1.701737098E-1,2.015301347E-1,-7.810943826E-1,8.244282390E-1
1.211612084E-1,7.674353600E-2,2.416654229E-1,-4.192022391E-1,4.899206713E-1
1.311662084E-1,-2.933005764E-1,7.896781683E-2,-1.893049224E-1,3.579071078E-1
1.411702083E-1,-6.060239951E-1,-1.811303687E-1,-1.273674866E-1,6.452098649E-1
1.511752084E-1,-8.494890448E-1,-3.909477621E-1,-9.589316726E-2,9.400357916E-1
1.611802083E-1,-1.117534035E0,-6.127455157E-1,1.228010304E-1,1.280398172E0
1.711842084E-1,-1.341023827E0,-7.782199645E-1,5.642247355E-1,1.649945687E0
1.811892084E-1,-1.148650139E0,-7.647275144E-1,1.348138719E0,1.929166483E0
1.911932083E-1,-1.018777632E0,-7.460766506E-1,2.323551353E0,2.644509241E0
2.011982084E-1,-1.083756717E0,-8.051861537E-1,3.309203632E0,3.574028825E0
