"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.744000016E-3,-7.739169985E-1,5.307733995E-1,-1.397393909E0,1.683263990E0
1.373100001E-2,-4.843734044E-1,5.759027946E-1,-1.847115544E0,1.994521862E0
2.371700000E-2,-4.625907719E-1,4.571031600E-1,-2.165310495E0,2.260863344E0
3.370400000E-2,-9.158815473E-1,1.668467903E-1,-1.967836574E0,2.176937675E0
4.369100000E-2,-9.791416964E-1,-2.859639287E-2,-1.382322711E0,1.694211407E0
5.367800000E-2,-9.295669556E-2,1.262144887E-1,-1.201770047E0,1.211949789E0
6.366499999E-2,7.604663560E-1,1.167706507E-1,-1.399448621E0,1.596997466E0
7.365100001E-2,1.114059473E0,-8.787312627E-2,-1.177011766E0,1.623023997E0
8.363800001E-2,1.056327574E0,-1.643526605E-1,-4.140243834E-1,1.146410019E0
9.362500001E-2,7.770141225E-1,-1.303133869E-1,5.306231260E-2,7.896506407E-1
1.036120000E-1,5.632831876E-1,1.031682730E-2,2.044654369E-1,5.993333807E-1
1.135990000E-1,5.558184859E-1,1.677291352E-1,1.483543861E-1,5.992297355E-1
1.235850000E-1,5.131598318E-1,2.272578835E-1,4.041613001E-1,6.916108118E-1
1.335720000E-1,9.374745107E-1,2.764461234E-1,1.147473972E0,1.507308009E0
1.435590000E-1,1.362782632E0,5.308064362E-1,1.919909871E0,2.413500753E0
1.535460000E-1,1.090937390E0,3.314292464E-1,-1.623692265E0,1.984027798E0
1.635330000E-1,7.872612217E-1,-2.009904367E-1,-3.376386970E0,3.472775023E0
1.735190000E-1,7.492696689E-1,-5.045363581E-1,-4.559657596E0,4.648272730E0
1.835060000E-1,8.967937504E-1,-3.834115782E-1,-5.059602136E0,5.152748514E0
1.934930000E-1,9.331163616E-1,-1.948119763E-1,-4.136969978E0,4.245371415E0
2.034800000E-1,7.109028710E-1,-4.080099374E-2,-2.578775885E0,2.675281794E0
2.134670000E-1,-5.598358154E-2,-1.641287121E-1,1.945311930E0,1.953026088E0
2.234530000E-1,-1.123888570E0,-2.291070655E-1,8.762030436E0,8.836786346E0
2.334400000E-1,-2.377379943E-1,2.283135983E-1,1.517856492E0,1.553233654E0
2.434270000E-1,-1.803507156E-1,-7.145247826E-1,3.885504622E0,3.954771575E0
2.534140000E-1,-5.965767219E-1,-7.796037081E-1,1.953561181E0,2.186341011E0
2.634010000E-1,-1.330760940E0,-1.294108984E0,1.330882416E0,2.284051389E0
2.733870000E-1,-6.830505364E-1,-1.642530239E0,1.551844018E0,2.360653189E0
2.833740000E-1,1.258217605E0,-1.580153020E0,5.095228636E-1,2.083172738E0
2.933610000E-1,2.430909156E0,-1.159375395E0,-2.993101984E-1,2.709807599E0
3.033480000E-1,2.625518526E0,-5.602606156E-1,4.820456278E-1,2.727564386E0
3.133350000E-1,3.359832626E0,-6.898334527E-1,-1.604528600E-1,3.433670133E0
3.233210000E-1,3.540938728E0,-1.697355780E0,-1.330660222E0,4.146072882E0
3.333080000E-1,1.802539880E0,-2.430893076E0,-2.339500219E0,3.825134304E0
3.432950000E-1,-2.491409712E0,-2.316805421E0,-3.906068695E0,5.179969339E0
3.532820000E-1,-4.231702181E0,-1.023210699E0,-4.231023027E0,6.070899384E0
3.632690000E-1,-2.138264784E0,9.079074070E-1,-3.080122586E0,3.857930442E0
3.732550000E-1,1.931923852E0,2.310124977E0,-2.363719386E0,3.828338610E0
3.832420000E-1,3.905803523E0,3.047936880E0,-2.237242357E0,5.436034745E0
3.932290000E-1,2.963554542E0,3.039915962E0,-1.670839534E0,4.562395131E0
4.032160000E-1,2.439122155E0,9.444259000E-1,-1.746443447E0,3.145047199E0
4.132030000E-1,2.236020581E0,-1.153840713E0,-1.591422651E0,2.977207162E0
4.231890000E-1,2.519243628E0,-1.819761100E0,-1.040075823E0,3.277175100E0
4.331760000E-1,3.050446798E0,-1.885329437E0,-3.529502159E-1,3.603368786E0
4.431630000E-1,2.313818663E0,-2.180597163E0,-8.647382909E-1,3.294925356E0
4.531500000E-1,5.580167466E-1,-2.783680155E0,-2.787700993E0,3.978886116E0
4.631370000E-1,-4.351471576E-1,-3.155635576E0,-4.452456499E0,5.474646821E0
4.731230000E-1,-9.599385631E-1,-3.099563994E0,-5.921746017E0,6.752470281E0
4.831100000E-1,-1.117176039E0,-2.924366502E0,-6.834647824E0,7.517473819E0
4.930970000E-1,-1.709908582E0,-3.483835697E0,-6.851750345E0,7.874476574E0
5.030840000E-1,-2.413123973E0,-4.633848238E0,-6.781770868E0,8.560848842E0
5.130710000E-1,-2.076356803E0,-5.297858632E0,-6.195727832E0,8.412229611E0
5.230570000E-1,-1.652109148E0,-5.515745183E0,-4.384529395E0,7.237196113E0
5.330440000E-1,-2.373007688E0,-6.441564074E0,-3.478989233E0,7.695991118E0
5.430310000E-1,-3.381255362E0,-8.511376673E0,-3.396569805E0,9.767963305E0
5.530180000E-1,-3.954956095E0,-9.989611262E0,-3.800428219E0,1.139637072E1
5.630050000E-1,-4.664375381E0,-9.103197927E0,-3.855327727E0,1.093106409E1
5.729910000E-1,-5.466649622E0,-8.911562451E0,-4.763205605E0,1.148861746E1
5.829780000E-1,-4.365706623E0,-8.045055377E0,-4.444030076E0,1.017505350E1
5.929650000E-1,-3.750588892E0,-7.047876483E0,-2.685629073E0,8.423305970E0
6.029520000E-1,-3.107591636E0,-7.005490601E0,-1.047859052E0,7.735116866E0
6.129390000E-1,-1.778500807E0,-6.961887914E0,1.204129691E0,7.285662411E0
6.229250000E-1,-1.206738426E0,-7.267081581E0,3.749284962E0,8.265823012E0
6.329120000E-1,-9.191483867E-1,-8.053006421E0,5.412415527E0,9.746280727E0
6.428990000E-1,-3.146491992E-1,-8.818559563E0,5.969620680E0,1.065374901E1
6.528860000E-1,9.706079775E-1,-8.828311549E0,5.164682449E0,1.027400163E1
6.628730000E-1,1.716243163E0,-7.420140637E0,4.131593463E0,8.664527812E0
6.728590000E-1,5.263815558E-1,-6.148539047E0,3.538003426E0,7.113302904E0
6.828460000E-1,-2.198202252E-2,-5.331587126E0,3.948317167E0,6.634418810E0
6.928330000E-1,1.015066112E0,-4.822757450E0,4.959398401E0,6.991779540E0
7.028200000E-1,2.503243307E0,-4.806913542E0,5.589967400E0,7.785909092E0
7.128070000E-1,4.286815989E0,-4.664615702E0,5.947227598E0,8.689358266E0
7.227930000E-1,5.272692216E0,-4.388072807E0,6.524265922E0,9.466916710E0
7.327800000E-1,6.433835809E0,-3.621825894E0,7.133537607E0,1.026641246E1
7.427670000E-1,7.890468444E0,-2.789950417E0,7.460277679E0,1.121155915E1
7.527540000E-1,8.808328689E0,-2.557659250E0,7.205226225E0,1.166377126E1
7.627410000E-1,9.418893778E0,-2.560031758E0,6.828433403E0,1.191204539E1
7.727270000E-1,1.021422503E1,-2.424278998E0,6.775171700E0,1.249441769E1
7.827140000E-1,1.100491360E1,-2.182150476E0,7.203072111E0,1.333244733E1
7.927010000E-1,1.222652091E1,-1.581228615E0,8.147468190E0,1.477732504E1
8.026880000E-1,1.409931977E1,-3.023834950E-1,9.721698273E0,1.712873816E1
8.126750000E-1,1.976382279E1,1.329341090E0,1.201101242E1,2.316549716E1
8.226610000E-1,2.156524235E1,2.497687867E0,1.141578926E1,2.452790995E1
8.326480000E-1,1.517264052E1,3.776127191E0,5.708460056E0,1.664495939E1
8.426350000E-1,1.134802705E1,2.833338511E0,3.252692631E0,1.214024441E1
8.526220000E-1,1.459769082E1,1.582684572E0,8.401068950E0,1.691672035E1
8.626090000E-1,1.482482007E1,1.619088167E-1,9.545372561E0,1.763280017E1
