"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.440958324E-3,-4.400118949E-1,-1.767510965E-1,-5.375520766E-2,4.772222125E-1
1.144795833E-2,-4.772946189E-1,-1.401215065E-1,-6.722046822E-1,8.362435797E-1
2.145495833E-2,-6.780130139E-1,8.195457458E-3,-1.106149360E0,1.297434090E0
3.146295832E-2,-7.789116901E-1,1.226359928E-1,-1.038929769E0,1.304269172E0
4.146995832E-2,-5.835677634E-1,2.030428094E-1,-4.377786970E-1,7.572502258E-1
5.147795833E-2,-3.894546756E-1,1.856417879E-1,1.169782269E-1,4.470142317E-1
6.148495834E-2,-2.441614531E-1,7.996710598E-2,6.508588368E-1,6.997333625E-1
7.149195831E-2,-2.813431665E-1,1.189689115E-1,8.819144869E-1,9.333170637E-1
8.149995832E-2,-4.594196807E-1,1.281949407E-1,8.499536061E-1,9.746391734E-1
9.150695833E-2,-4.355867220E-1,-2.725726354E-1,5.302471501E-1,7.383723140E-1
1.015149583E-1,-6.384317493E-1,-6.458834410E-2,1.783851010E-1,6.660240213E-1
1.115219583E-1,-3.890614504E-1,4.351839951E-1,-4.077152377E-1,7.120292387E-1
1.215289583E-1,1.559781320E-1,1.964567980E-1,6.404355901E-1,6.878097094E-1
1.315369583E-1,6.112562299E-1,-4.652454078E-2,7.871264434E-1,9.976806851E-1
1.415439583E-1,8.744698119E-1,8.788715959E-2,1.094166076E0,1.403431868E0
1.515519583E-1,9.978861156E-1,3.394241443E-1,1.155467700E0,1.563998419E0
1.615589583E-1,9.018512996E-1,4.807767820E-1,1.133702025E0,1.526355909E0
1.715659583E-1,9.797762655E-1,3.706295648E-1,1.218454492E0,1.606847583E0
1.815739583E-1,-9.808474754E-1,8.762806946E-1,1.095570577E0,1.711784016E0
1.915809583E-1,-1.671072692E0,6.903219876E-1,7.839122289E-1,1.970671654E0
2.015889583E-1,-9.439408734E-1,-3.085604936E-1,9.666412264E-1,1.385867675E0
2.115959583E-1,-1.280960497E-1,-9.407380611E-1,6.118655097E-1,1.129502589E0
2.216029583E-1,7.132584950E-1,-9.900812522E-1,-2.088917792E-1,1.237996099E0
2.316109583E-1,1.425426923E0,-5.655497146E-1,-1.001180145E0,1.831406583E0
2.416179583E-1,1.552654734E0,2.327978280E-1,-1.212487409E0,1.983697877E0
2.516259583E-1,6.178779823E-1,-2.501547030E-1,-1.392803845E0,1.544102693E0
2.616329583E-1,-5.790218822E-1,-4.503621975E-1,-7.272421843E-1,1.032944163E0
2.716399583E-1,-1.387064364E0,3.689195466E-1,1.235619578E0,1.893886196E0
2.816479583E-1,-7.387176374E-1,2.760271704E-1,3.108565782E0,3.207035386E0
2.916549583E-1,8.245605373E-1,-1.046461275E0,1.305861011E0,1.865543958E0
3.016629583E-1,1.034917702E0,-1.272064689E-1,-2.139431888E-1,1.064428402E0
3.116699583E-1,1.196274395E0,-2.905405444E-1,-7.835134488E-1,1.459239378E0
3.216769583E-1,9.890124542E-1,-3.423086343E0,-1.405832611E0,3.830408735E0
3.316849583E-1,8.127531085E-1,-3.184349790E0,-2.298791319E0,4.010622486E0
3.416919583E-1,9.049162638E-1,-6.557275209E-1,-1.843079796E0,2.155410671E0
3.516999583E-1,7.480469430E-1,4.979956627E-1,-1.014473205E0,1.355260046E0
3.617069583E-1,5.739834826E-1,-1.353838000E-1,-1.174327310E0,1.314089206E0
3.717149583E-1,6.026992683E-1,-8.503289974E-1,-1.547921121E0,1.866109752E0
3.817219583E-1,9.538435717E-1,-1.312015205E0,-1.818853612E0,2.437094565E0
